Name,Date,Type
Python,,Software
Java,,Software
C/C++,,Software
SQL,,Software
GitHub,,Software
VS Code,,Software
IntelliJ,,Software
Docker,,Software
Figma,,Software
Microsoft Office Suite,,Software
Chinese (Native),,Language
Collaboration,,Expertise
French (B2),,Language
English (Native),,Language
Time Management,,Expertise
Project Management,,Expertise
Reading,,Interests
Barista-ing,,Interests
Hiking,,Interests
Printmaking,,Interests
Communication,,Expertise
"Problem-solving ",,Expertise
